file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
S5_036,0.0,3.2965625,audio,-50.915358664772725,-52.75839101857152,5.176107961049844,20.322535044683907
W2_190,0.0,2.039625,audio,-43.55079561121323,-53.48458137512207,5.15717085831708,12.514273370947034
W1_219,0.0,2.4239375,audio,-44.7483939178719,-48.81108474731445,5.119323547176467,15.044951165265296
W2_199,0.0,2.6156875,audio,-43.91079362476145,-51.13443790782582,5.019961855581678,14.260715977457693
S5_076,0.0,3.2455,audio,-48.61688100961538,-50.56633613849508,5.019471639254901,13.878530559326876
S5_077,0.0,2.3595625,audio,-49.197894597457626,-51.046251487731936,5.00057954610035,16.070408043099874
S5_073,0.0,1.575875,audio,-48.708900934533226,-49.532863193088104,5.00057954610035,7.47735105276605
S5_067,0.0,1.8229375,audio,-44.21087042839972,-44.73750534057617,5.00057954610035,5.798346299505631
S5_058,0.0,3.901125,audio,-53.384835737179486,-54.85760156731857,4.9367515020359996,15.228119984225275
S7_024,0.0,4.693625,audio,-47.833547108208954,-52.17027964736476,4.872763086167024,16.03868847920222
S5_023,0.0,3.9845,audio,-51.230282270728644,-52.418893814086914,4.8188866337975105,16.841261291576835
W5_224,0.0,2.747875,audio,-44.657776988636364,-50.026600557215076,4.81279356599799,16.86888549422671
S5_053,0.0,4.097375,audio,-52.382155106707316,-53.171374672337585,4.764111281794728,9.381955879744872
S7_023,0.0,4.16675,audio,-53.66773924610312,-58.0780827999115,4.724913491755527,10.335965707851955
S7_021,0.0,4.3296875,audio,-50.92169908342956,-53.75425296359592,4.696402234658106,13.108466540071849
W1_024,0.0,1.3878125,audio,-40.24449190647482,-49.668399810791016,4.696400978007075,14.155682242878427
S7_107,0.0,2.944625,audio,-47.07020620748299,-52.619088672456286,4.696399721356044,12.219376411787206
S5_075,0.0,2.006125,audio,-45.081219877176615,-46.59092630658831,4.637193721494671,7.850129007989889
S5_017,0.0,3.06875,audio,-53.02728013029316,-54.75828470502581,4.637193721494671,10.550982334956718
S7_094,0.0,4.0955625,audio,-48.68877667682927,-52.59369747455303,4.635667869604704,14.053368555826406
S7_071,0.0,2.621125,audio,-47.692356721135496,-54.270066878374884,4.635667869604704,10.655655879787318
W1_178,0.0,1.34025,audio,-43.46071886660448,-54.10086313883463,4.633879920532674,14.457962495246736
W5_035,0.0,1.9924375,audio,-43.76681257851759,-43.32132339477539,4.6272950163335045,11.255020403242632
S5_022,0.0,2.8174375,audio,-48.428243434175535,-50.84153402419317,4.6024677790924144,16.469490897371287
S7_070,0.0,3.265375,audio,-53.55692732224771,-57.51163101196289,4.505568695390205,14.258238909045062
W3_002,0.0,1.492,audio,-41.14013999580537,-53.97758102416992,4.493349395714472,17.463202859607083
W1_027,0.0,1.24525,audio,-36.56665234375,-41.00151252746582,4.485569178651748,14.699221652731055
W1_194,0.0,1.9771875,audio,-43.399123066603536,-48.39280764261881,4.469984620958066,16.10502232389075
W5_046,0.0,1.8508125,audio,-42.88348025760135,-51.66909662882487,4.465871722894766,11.756257394107086
S5_085,0.0,2.9899375,audio,-50.26319829117893,-51.639344738375755,4.464021543280756,17.370890693815273
W2_015,0.0,1.6619375,audio,-41.1873882247741,-43.84972127278646,4.452903599586131,13.05413925157044
S8_043,0.0,4.4611875,audio,-47.157011981502244,-50.5092578125,4.44272004752724,16.905676591144754
W2_203,0.0,1.8319375,audio,-40.47382225495219,-53.85550498962402,4.423252124566065,14.171177128366434
S7_018,0.0,5.3223125,audio,-50.41799812030075,-54.562167485555015,4.423251328058773,13.729033830104846
W2_172,0.0,1.756375,audio,-47.0933837890625,-52.02272987365723,4.4223473107498,13.049383759192779
S7_117,0.0,4.6429375,audio,-49.7861538591056,-51.7529999582391,4.40493618487007,12.215202544559254
S8_037,0.0,5.418625,audio,-47.708508706180815,-51.2826604109544,4.328586692184536,12.542327622340895
W1_213,0.0,1.929625,audio,-42.51098506314767,-47.789141394875266,4.292068381835935,15.865038823829785
S5_100,0.0,2.2294375,audio,-47.33548644198431,-51.52870483398438,4.2895706068257065,16.024263219320922
S8_056,0.0,3.2516875,audio,-48.29104266826923,-51.61564749258536,4.27473926427297,15.313826948558466
S7_062,0.0,4.117125,audio,-52.45822587985437,-55.587260673786034,4.273807389244375,14.215619560411042
S5_084,0.0,2.6854375,audio,-50.60628557736989,-55.9953875541687,4.208414718839789,13.541817052728156
S8_010,0.0,6.1448125,audio,-44.10964220276873,-49.86084012287419,4.195969857765741,16.928311687631826
S8_100,0.0,3.0874375,audio,-49.669289795711975,-57.076616287231445,4.1959688888196665,17.942977248201263
S5_059,0.0,3.1581875,audio,-50.542563909216774,-51.161211926004164,4.166605669824639,16.417200115302197
W5_179,0.0,1.586375,audio,-41.76461772798742,-51.32568613688151,4.156265173455799,14.670846546445166
S5_052,0.0,4.1378125,audio,-51.01280853713768,-55.11777360977665,4.136159816476444,17.611949571816652
S8_019,0.0,5.525,audio,-47.616346914556964,-51.767963366074994,4.063907150754885,16.19270926921628
W1_192,0.0,1.5304375,audio,-37.83767680249183,-42.75655698776245,4.031288913232566,14.367627467736412
S7_106,0.0,2.7101875,audio,-48.4455863699262,-56.421145589728106,4.025920159829355,16.30926146017327
